Day,Sales,Trading Profit,Operating Expense,Net Profit
11,3504433,1304352,1147967,156385
12,3637259,1393636,1220087,173549
13,3770763,1488028,1277207,210821
14,4171120,1852284,1335106,518205
15,4388284,2008054,1401005,608076
16,4519060,2047814,1459565,590817
17,4649178,1548967,1602969,-51434
18,5586852,1225069,1902645,-674237
19,5716034,1128701,1970120,-838080
20,5904273,1257405,2029595,-768851
21,7761659,3146095,2104793,1043614
22,7972733,3212494,2165532,1050173
23,8110249,2924449,2252419,674213
24,8250792,2629804,2344369,288581
25,8483512,2358218,2485308,-123944
26,8651123,1996566,2547874,-547198
27,9446272,2298252,2651371,-349009
28,10138393,2866021,2726187,143944
29,10370878,1049494,2773035,-1719431
30,14432908,4918999,2873561,2045438
31,14661698,5167304,3240413,1926891
32,14926198,5441448,3297579,2143869
33,16162686,5772657,3504615,2268042
34,17426448,6315926,3607261,2708665
35,18520859,6454082,3741179,2712903
36,19574047,6612514,3991211,2621303
37,21005986,7264658,4148643,3116015
38,22242075,8438454,4209223,4229231
39,22498676,8604610,4268521,4336089
40,22720033,8734273,4349849,4384424
41,22902715,7934288,4534833,3399455
42,24347026,8649372,4698415,3950957
43,25320432,8716094,4823372,3892722
44,26317984,9248964,4882490,4366474
45,27795932,10271313,4989108,5282205
46,28513495,10962890,5097526,5865364
47,29996085,12404013,5169004,7235009
48,30156096,12468602,5229841,7238761
49,30345326,12543035,5290205,7252830
50,30635010,12711649,5350469,7361180
51,30851444,12904354,5474637,7429717
52,31324177,13190990,5535901,7655089
53,31816011,13095579,5669029,7426550
54,32918617,12350609,5933983,6416626
55,35332945,14627498,6072647,8554851
56,35473821,14300855,6339448,7961407
57,35746805,14445706,6420720,8024986
58,36131715,13828676,7002276,6826400
59,36838311,14412530,7083393,7329137
60,37145755,13129428,7634550,5494878
61,38513170,14387634,7726479,6661155
62,38853554,14280169,7831588,6448581
63,40384886,15703364,7915481,7787883
64,41533873,16775027,8008878,8766149
65,42398189,16937815,8212595,8725220
66,43830193,17635863,8463669,9172194
67,44983251,18684482,8553962,10130520
68,45442798,18427495,8886014,9541481
69,45782574,18715426,8952924,9762502
70,47300554,18889450,9433173,9456277
71,49576238,20657031,9500898,11156133
72,50921504,21618691,9629571,11989120
73,52237786,22782166,9703744,13078422
74,52623925,23111083,9772417,13338666
75,52887929,21580680,10084963,11495717
76,55230177,23814052,10153836,13660216
77,55587404,23311534,10262730,13048804
78,56017519,23385546,10390716,12994830
79,56744883,23953564,10522623,13430941
80,58194825,25077984,10735682,14342302
81,58461223,24495788,11099146,13396642
82,59195089,24959875,11214670,13745205
83,59877515,25565373,11287344,14278029
84,62007193,27356167,11375423,15980744
85,63790721,28352140,11540505,16811635
86,64640754,28929205,11716642,17212563
87,65203407,29322579,11788107,17534472
88,65541900,29538818,11865822,17672996
89,65888993,29893678,11937459,17956219
90,66280863,30213335,12015140,18198195
